创新性	是否具有某领域的开创性、专利						
技术	自主实现、使用技术先进性、生态系统完善程度、支持平台、技术团队						
应用面	如仅局限于数字货币的功能则得分较低，应用面的优劣（主观性较大）						
得分	创新性+技术+应用面						
	备注：1.笔者在做此份评分时查阅了大量的原始资料，请读者注意评分具有较大主观性（建议读者使用时划分四个档次，各档次间排名差距和大众标准将会吻合许多），评分标准如上所示。						
	2.单纯的衍生币由于仅有货币功能，所以应用面一项得分会较低（0～1）						
	3.如发现错误或不准确欢迎在评论中留言，笔者会查阅更新						
	4.NXT AE平台资产（MMNXT、NOXT、UNITY）						
以太坊作为参考标准，并不是说以太坊没有缺陷（例如其区块链效率低下）							
---------------------------------------------------------------------------------------------------------------------------------------------------
【评分排序，版本16-6-22，可以按Ctrl+F在浏览器上快速搜索】

Coin	得分	创新性	技术	应用面	特色
CNMT	5	3	1	1	非开源	特色，其他衍生币通过CNMT提供各种法币之间的兑换服务，如将LTC直接兑换成RMB并充值至信用卡
IOC	5	2	2	1	0	货币本身没有特色，主旨是易用使用的数字货币，各种平台的钱包和用户名注册系统使普通小白非常方便的使用这种数字货币
VRC	5	3	2	0	2	衍生币：维理币（VRC, VeriCoin）初始采用PoW+PoS的混合挖矿方式，PoW两周结束转入纯PoS期。PoS采用独特的动态年利率，股权证明挖矿越多，利率越高。 1分钟每区块，总量不固定，已经产出2676万枚。
VTC	5	3	2	0	2	采用独特的 Adaptive N-factor in Scrypt 算法来有效阻止ASIC专用矿机，以让更多人参与挖矿，更好的做到去中心化。两分半钟一个确认。同时能够有效避免51%攻击.
VOX	5	4	0	1	非开源	VOX是一个VR游戏平台中的虚拟币，可以用来购买VOXELUS平台上的虚拟现实游戏。点评：本身作为一个纯粹的衍生币，并没有什么特色。并且VR行业的短期发展前景受到质疑。这个币主要炒作的还是虚拟现实游戏，至于炒作前景还需关注该公司有无推出杀手级的虚拟现实游戏，目前笔者给分保守。
DCR	5	3	2	0	4	衍生币，工作证明算法，结合POW和POS证明算法，称为POA。还有一些微小改进，SHA-256算法，使用GO语言模块化的实现。创新性一般，技术一般。
FLDC	4	1	1	2	0	将自己的电脑计算能力出租，用于医疗研究，获得货币
OMNI	4	2	2	0	4	在BTC区块之上构建的一种货币，底层仍然使用BTC的区块，上层封装了新的协议，声程可以解决BTC网络的稳定性和安全性。
RADS	4	1	3	0	3	衍生币：POS，区块产生时间1分钟
XPM	4	2	2	0	0	衍生币：主要特色在于其采用独特的求解质数的算法
ABY	3	0	1	2	非开源	主题币：用于资助艺术家，粉丝打赏
BLK	3	1	2	0	0	衍生币：转账迅速、POS+POW股权认证
FLO	3	1	1	1	3	交易时能添加交易备注。区块产生快，交易迅速。
GRS	3	1	2	0	2	衍生币：新的挖矿算法，更节能
MYR	3	1	2	0	3	基于泽塔币改进的一个币种，特色是支持具有多种设备公平挖矿算法
NMC	3	2	1	0	0	衍生币：定位为比特币的侧链，提供DNS服务，已经5年没有更新过代码。
RBY	3	0	3	0	1	衍生币：POS，区块产生时间1.5分钟
XST	3	2	1	0	1	衍生币：主要特色是想解决BTC的匿名交易问题。没有官网，团队实力一般，源码半年没有维护。
BCN	2	1	1	0	2	衍生币：并无明显特色，强调其安全性、转账免费迅速
BELA	2	0	1	1	0	主题币：关注儿童
BTCD	2	1	1	0	1	衍生币：特色匿名，近乎实时交易
BURST	2	2	0	0	0	衍生币：使用硬盘挖矿（区别于其他货币使用CPU/GPU挖矿）
DGB	2	1	1	0	1	衍生币：交易迅速
EXE	2	1	1	0	0	衍生币：新算法可以防ASIC矿机挖矿，区块时间45秒，交易迅速
HUC	2	1	1	0	0	基于莱特比，同样可以通过玩游戏获得HUC
HYP	2	1	1	0	1	衍生币：主要目的是进行一个实验方案：发现一个区块具有极高的回报，却不会引起高通胀率。
INDEX	2	2	0	0	无	Index.com提出从交易平台数字货币中选取20个加权算出“道琼斯指数”，INDEXCoin就是该网站旗下的一种普通货币
MCN	2	2	0	0	0	衍生币：提出解决目前数字货币通货紧缩的解决方案，即挖矿难度上升时，货币供给（区块回报）也会相应增加，因为这表明认为对货币的需求变强了。至于方案合理与否有待商榷。
NAUT	2	1	1	0	0	衍生币：主要特色：交易迅速，相较于BTC10分钟确认时间，只需要1分钟确认，源码已经一年没有更新
NEOS	2	0	2	0	0	衍生币：并没有什么特色，社区活跃性还好。(和BELLA开发者是同一人)
NOBL	2	0	1	1	非开源	无明显特色，定位为支付和礼物赠送的货币，提供移动端APP，目前仍在研发阶段。
XMG	2	1	1	0	2	衍生币：POS+POW混合算法无明显特色
XPB	2	1	1	0	1	衍生币：CryptoNote算法（与XMR一样），由于挖矿算法需要极大的13GB内存，可以防止ASIC和GPU挖矿。无其他明显特色
BTM	1	0	1	0	0	衍生币：没有什么特色
CURE	1	0	1	0	0	主题币：用于医疗研究，可以通过ASIC和CPU/GPU挖矿
HZ	1	1	0	0	无	基于NXT源码二次开发，相较于NXT分发更为公平，无ICO
MMC	1	1	0	0	0	衍生币：新算法，由于挖矿需要占用大量内存，可以有效的防止ASIC矿机挖矿，但是有部分预挖。
NAV	1	1	0	0	1	衍生币：主要特色30秒钟完成交易，交易时提供了二次加密匿名性有提升，基于BTC代码。
PIGGY	1	0	0	1	1	主题币：旨在以有趣的方式让儿童认识数字币，可以通过玩游戏的方式获取猪币
WDC	1	1	0	0	0	衍生币：交易速度快，30秒产生一个区块，2个确认完成一次交易。scrypt算法
CGA	0	0	0	0	0	衍生币：基于LTC开发，并无明显特色，区块奖励算法不同
CLAM	0	0	0	0	1	衍生币：无明显特色，声称公平、匿名
DIEM	0	0	0	0	0	主题币：主题是及时行乐
DOGE	0	0	0	0	1	一个单纯的衍生币，并无明显特色。
EMC2	0	0	0	0	0	主题币：产生的2%区块用于捐献给科学研究
GAP	0	0	0	0	0	衍生币：并无明显特色，初始分配公平，无预挖
LQD	0				无	NXT AE上的一种资产
LTBC	0	0	0	0	0	一种奇怪的衍生币，挖矿方式是参与推广这个货币。例如在论坛上写文章、听宣传广播，获得货币
MIL	0	0	0	0	3	衍生币：百万币，总量一百万。POS证明，利率12%每年。区块产生时间30秒。无明显特色
MINT	0	0	0	0	1	衍生币：纯POS股权证明，一次交易4个确认交易速度快，无明显特色。
MMNXT	0				无	NXT AE上的一种资产
MRS	0	0	0	0	0	衍生币：并无明显特色，主题一是为探索火星的一个公益项目建立的货币，梦想之后在火星上使用这种货币。
NOTE	0	0	0	0	0	衍生币：无明显特色
NOXT	0				无	NXT AE上的一种资产
NSR	0	0	0	0	3	NU网络发行的一种股票，持币者可以对NU网络中的事务进行投票。但并没有说NU网络有什么应用或实体资产
PINK	0	0	0	0	已撤销项目	主题币：旨在发起“Donate4life”的倡议，传播爱。。。
POT	0	0	0	0	1	衍生币：并无明显特色，转账费率低
QBK	0	0	0	0	0	衍生币：无明显特色。有预挖，X13算法
QTL	0	0	0	0	1	衍生币：无明显特色
RIC	0	0	0	0	0	衍生币：并无明显特色
SILK	0	0	0	0	0	衍生币：无明显特色
SWARM*	0	0	0	0	无	衍生币，官网打不开。Bittalk上有他们的主旨，并没有给出其特色之处。
SYNC	0	0	0	0	0	衍生币，无明显特色，X11算法，区块时间60秒，预挖0.5%，总量1000个
UNITY	0				1	NXT AE上的一种资产
XBC	0	0	0	0	1	衍生币：无明显特色，60分钟区块产生时间，4个确认，X13算法
XCH	0	0	0	0	0	基于VIA区块链的智能资产（类似于在XCP上自定义规则发行货币）
XDP	0	0	0	0	0	衍生币：基于狗币区块链之上封装的一个新币种，资料不全。没有明显特色（官网已经打不开5.25）
XUSD	0					无相关信息
YACC	0	0	0	0	1	衍生币：无明显创新
PTS						
BITCNY	N/A	N/A	N/A	N/A		BTS上的比特资产
BITS	N/A	N/A	N/A	N/A		BTS上的比特资产
BITUSD	N/A	N/A	N/A	N/A		BTS上的比特资产



---------------------------------------------------------------------------------------------------------------------------------------------------------------

第一套加密方法：   当某行数字不存在或为N/A，则按0算

1.A验证B真实性过程

	A说：	第x行，假设为【n1,n2,n3,n4】

	B答：   【n1乘以月份】+【n2乘以日期】+【n3】+【n4乘以2】

2.B验证A真实性过程

	当A判定B回答正确后

	A回：   【n1】+【n2乘以2】+【n3乘以月份】+【n4乘以日期】  

3.校验按以前的校验方法	
	

--------------------------------------------------------------------------------------------------------------------------------------------------------------


第二套加密方法：当某行数字不存在或为N/A，则按0算

1.A验证B真实性过程

	A说：	【x1行第1个数，x2行2个数，x3行第1个数，x4行第3个数】,假设为【n1,n2,n3,n4】

	B答：   【n1乘以月份】+【n2乘以日期】+【n3】+【n4】

2.B验证A真实性过程

	当A判定B回答正确后

	A回：   【n1】+【n2】+【n3乘以月份】+【n4乘以日期】  

3.校验按以前的校验方法	
	说出操作的行数，按以前的校验方法

-------------------------------------------------------------------------------------------------------------------------------------------------------------
4. 字母编码

（加密，字母找数字）

A    B    C    D   E   	F    G   H   I   J   K   L   M   N   O   P   Q    R    S   T   U   V   W   X   Y   Z

2    5    9   14   22   6   23  25   17  8   13  16  21  1   24  7   4    26   18  11  20  15  3   12  10  19


（解密，数字找字幕）


1    2    3    4    5    6    7    8    9    10    11    12    13    14    15    16   17   18   19   20   21    22    23     24    25     26        
N    A    W    Q    B    F    P    J    C    Y      T     X     K     D     V     L    I    S    Z    U    M     E    G       O     H      R         
